CBSA Code,CBSA Title,county_fips,County/County Equivalent,State Name,cbsa_title_clean,cbsa_title,population_2024
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",34005,Burlington County,New Jersey,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",".Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6330422.0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",34007,Camden County,New Jersey,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",".Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6330422.0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",34015,Gloucester County,New Jersey,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",".Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6330422.0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42017,Bucks County,Pennsylvania,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",".Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6330422.0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42029,Chester County,Pennsylvania,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",".Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6330422.0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42091,Montgomery County,Pennsylvania,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",".Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6330422.0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42045,Delaware County,Pennsylvania,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",".Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6330422.0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42101,Philadelphia County,Pennsylvania,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",".Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6330422.0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10003,New Castle County,Delaware,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",".Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6330422.0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",24015,Cecil County,Maryland,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",".Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6330422.0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",34033,Salem County,New Jersey,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",".Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6330422.0
38060,"Phoenix-Mesa-Chandler, AZ",04013,Maricopa County,Arizona,"Phoenix-Mesa-Chandler, AZ",".Phoenix-Mesa-Chandler, AZ Metro Area",5186958.0
38060,"Phoenix-Mesa-Chandler, AZ",04021,Pinal County,Arizona,"Phoenix-Mesa-Chandler, AZ",".Phoenix-Mesa-Chandler, AZ Metro Area",5186958.0
