"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code"
"1639998453","HEALTHY HORIZONS PSYCHIATRY","3"
"1639998453","Healthy Horizons Psychiatry PC","3"
"1700731189","Penrose Pulmonology","3"
"1720788318","Baldwin Pharmacy LLC LTC","3"
"1730034109","Maternal Fetal Medicine Jordan Valley","3"
"1770002446","Kagman Community Health Center","3"
"1770002446","Kagman Isla Community Health","3"
"1821728916","Hera High Risk Pregnancy Specialists","3"
"1861129702","In Home Personal Services","3"
"1962993451","Dental Care at Quail Hollow","3"
"1982558912","Chicago Family Pharmacy","3"
"1053188326","The Lactation Network of Pennsylvania","5"
"1083773436","Dee Physical Therapy Services LLC","4"
"1114872496","TERRELL CENTER FOR YOUTH","3"
"1124112404","HILLS DRUG STORE","3"
"1154270692","Holyoke Medical Center Specialty Pharmacy","3"
"1174673651","STANWOOD AMBULANCE SERVICE","3"
"1285401414","The Lactation Network of Arkansas","5"
"1346650124","WellSpan Orthopedics","3"
"1396749917","Heartland CARES, Inc.","4"
"1396749917","LivWell Community Health Services, Inc.","5"
"1396857421","EVERGREENS DRUGS","3"
"1396857421","EVERGREENS DRUGS INC","3"
"1417802893","Healthcare Network","3"
"1447283072","DMH @ Harbor-UCLA Medical Center","3"
"1447283072","DMH at Harbor UCLA Medical Ctr","3"
"1447978366","DEVOTED HEALTHCARE  STAFFING LLC","3"
"1447978366","DEVOTED STAFFING LLC","4"
"1457731242","Las Vegas, Neurology Center","3"
"1609272111","Annapolis Professional Pharmacy","3"
"1730034026","Amada Senior Care McAllen TX","3"
"1750381281","Merrimack Health Lawrence Hospital","3"
"1841145125","Dr. Josh Wound Group","3"
"1861714677","Arnold Professional Pharmacy","3"
"1871477877","Ben Cramer Therapy","3"
"1922970458","Port Gamble S'Klallam Pharmacy","3"
"1982559456","Pediatric Urgent Care of Rochester","3"
"1053920108","Kappa Dental Group","5"
"1114241437","Alive Palliative Care","5"
"1215602073","TLC Costa Brava","3"
"1215602073","TLC Memory Care","3"
"1275113011","Eye Surgery Center of Homewood","3"
"1285184218","Capital Children's General Anesthesia Dentistry","3"
"1306563275","Transcendence Recovery","3"
"1336094630","Colorado Tongue Tie Center","3"
"1346076155","New Cadence Healthcare","3"
"1346195641","Doula Sol","3"
"1346195641","Well Being Transitions Counseling and Consulting Services (WBTCS)","3"
"1356296651","Brevard Orthopaedic Specialists","3"
"1396630620","Heartland Vascular","3"
"1497567234","Advent Caregivers","3"
"1497810097","Earlham Medical Clinic","3"
"1558589960","Curry Health Center","3"
"1588399745","Local Infusion","3"
"1669265898","Gateway Motion Physical Therapy","3"
"1699407148","Family Care Behavioral Center, LLC","3"
"1699657650","ALIGNED CARE BEHAVIORAL SERVICES","3"
"1730043118","Audrey Healthcare LLC","4"
"1023963485","Choice Health at Home","3"
"1174478499","Dynamic Chiros of Yelm","3"
"1205881232","Prescott Dialysis","3"
"1255415378","HAWTHORNE RX PHARMACY","3"
"1255415378","RAPID CARE PHARMACY","3"
"1265500060","NORTHFIELD PHARMACY","3"
"1295393791","alphatelemed.com","3"
"1306791629","Wild Wonder 2e","3"
"1306798335","First Day Homecare #029","3"
"1346813797","Onsite Lab Corp","4"
"1396837605","IGENEX, INC. REFERENCE LABORATORY","3"
"1407941719","FPA Women's Health","3"
"1437000940","Enloe Health and Wellness Specialty Care-Oroville","3"
"1437624871","Gower Family Pharmacy","3"
